x,l_acc_x,l_acc_y,l_acc_z,r_acc_x,r_acc_y,r_acc_z
0,0.170,1.044,0.516,-1.149,0.515,-1.688
1,0.159,1.179,0.560,-0.990,0.508,-1.691
2,0.097,1.174,0.396,-0.704,0.550,-1.563
3,0.110,1.194,0.318,-0.454,0.533,-1.366
4,0.147,1.183,0.244,-0.311,0.492,-1.135
5,0.170,1.132,0.198,-0.234,0.508,-0.839
6,0.199,1.101,0.220,-0.188,0.570,-0.598
7,0.248,0.981,0.239,-0.178,0.612,-0.505
8,0.313,1.015,0.224,-0.072,0.569,-0.571
9,0.273,1.063,-0.018,0.051,0.489,-0.574
10,0.122,0.978,-0.308,0.131,0.474,-0.654
11,0.005,0.905,-0.534,0.182,0.565,-0.652
12,-0.024,0.895,-0.764,0.233,0.650,-0.569
13,0.058,0.882,-0.925,0.270,0.664,-0.388
14,0.279,0.905,-0.973,0.267,0.664,0.016
15,0.557,0.931,-0.954,0.227,0.727,0.212
16,0.811,0.782,-1.029,0.200,0.853,0.344
17,0.966,0.602,-1.223,0.167,0.961,0.445
18,0.938,0.537,-1.302,0.185,0.970,0.425
19,0.767,0.553,-1.193,0.142,0.955,0.333
20,0.497,0.645,-1.103,0.039,0.975,0.301
21,0.320,0.682,-1.037,-0.040,0.954,0.202
22,0.287,0.693,-0.869,-0.068,0.988,0.107
23,0.338,0.714,-0.685,-0.037,1.015,0.026
24,0.378,0.660,-0.499,-0.064,1.070,-0.247
25,0.343,0.557,-0.507,-0.101,0.980,-0.575
26,0.280,0.561,-0.529,-0.117,0.796,-0.936
27,0.198,0.633,-0.552,-0.130,0.653,-1.108
28,0.111,0.720,-0.545,-0.211,0.525,-1.228
29,0.077,0.823,-0.399,-0.421,0.493,-1.299
30,0.070,0.946,-0.267,-0.776,0.521,-1.191
31,0.123,1.135,0.235,-1.007,0.586,-1.416
32,0.152,1.084,0.510,-1.129,0.542,-1.642
33,0.128,1.118,0.624,-1.093,0.543,-1.699
34,0.103,1.176,0.604,-1.003,0.582,-1.688
35,0.082,1.152,0.453,-0.732,0.620,-1.497
36,0.116,1.115,0.397,-0.481,0.579,-1.286
37,0.164,1.083,0.329,-0.338,0.524,-1.004
38,0.193,1.055,0.286,-0.244,0.503,-0.729
39,0.228,1.017,0.266,-0.200,0.521,-0.557
40,0.244,0.913,0.170,-0.175,0.502,-0.574
41,0.217,0.987,0.031,-0.042,0.454,-0.662
